OBSERVATION DATE,ALL SPECIES REPORTED
3/1/20,159
3/2/20,113
3/3/20,129
3/4/20,154
3/5/20,140
3/6/20,147
3/7/20,142
3/8/20,168
3/9/20,164
3/10/20,140
3/11/20,159
3/12/20,158
3/13/20,158
3/14/20,152
3/15/20,140
3/16/20,162
3/17/20,163
3/18/20,144
3/19/20,162
3/20/20,151
3/21/20,178
3/22/20,161
3/23/20,149
3/24/20,145
3/25/20,153
3/26/20,170
3/27/20,163
3/28/20,158
3/29/20,162
3/30/20,161
3/31/20,175
4/1/20,162
4/2/20,165
4/3/20,161
4/4/20,167
4/5/20,141
4/6/20,132
4/7/20,157
4/8/20,184
4/9/20,162
4/10/20,190
4/11/20,184
4/12/20,183
4/13/20,164
4/14/20,161
4/15/20,197
4/16/20,155
4/17/20,170
4/18/20,183
4/19/20,198
4/20/20,156
4/21/20,153
4/22/20,179
4/23/20,167
4/24/20,198
4/25/20,172
4/26/20,202
4/27/20,160
4/28/20,171
4/29/20,169
4/30/20,157
5/1/20,174
5/2/20,181
5/3/20,179
5/4/20,173
5/5/20,165
5/6/20,157
5/7/20,141
5/8/20,146
5/9/20,185
5/10/20,149
5/11/20,141
5/12/20,142
5/13/20,135
5/14/20,138
5/15/20,146
5/16/20,174
5/17/20,127
5/18/20,136
5/19/20,132
5/20/20,138
5/21/20,140
5/22/20,147
5/23/20,153
5/24/20,153
5/25/20,144
5/26/20,134
5/27/20,114
5/28/20,140
5/29/20,141
5/30/20,143
5/31/20,147
