CommonName
Accipiter Sp.
Acorn Woodpecker
Adult (Time
American Bittern
American Coot
American Green-Winged Teal
American Kestrel
American White Pelican
American Wigeon
Anna's Hummingbird
Bald Eagle
Band-Tailed Pigeon
Barn Owl
Barrow's Goldeneye
Belted Kingfisher
Black Phoebe
Black-Crowned Night Heron
Black-Necked Stilt
Blue-Winged Teal
Bufflehead
Cackling Goose
California Quail
Canada Goose
Canvasback
Cinnamon Teal
Common Galinule
Common Goldeneye
Common Merganser
Cooper's Hawk
Double-Crested Cormorant
Dowitcher Sp.
Downy Woodpecker
Duck Sp.
Dunlin
Eared Grebe
Eurasian Collared Dove
Eurasian Wigeon
Ferruginous Hawk
Gadwall
Golden Eagle
Great Blue Heron
Great Egret
Great Horned Owl
Greater Roadrunner
Greater White-Fronted Goose
Greater Yellowlegs
Green Heron
Gull Sp.
Hairy Woodpecker
Hooded Merganser
Horned Grebe
Killdeer
Large Falcon Sp.
Least Sandpiper
Lesser Scaup
Lesser Yellowlegs
Lewis' Woodpecker
Long-Billed Dowitcher
Long-Eared Owl
Mallard
Merlin
Mourning Dove
Northern Flicker
Northern Goshawk
Northern Harrier
Northern Pintail
Northern Pygmy Owl
Northern Saw-Whet Owl
Northern Shoveler
Nuttall's Woodpecker
Osprey
Pied-Billed Grebe
Prarie Falcon
Red-Breasted Sapsucker
Red-Naped Sapsucker
Red-Shafted Form
Red-Shouldered Hawk
Red-Tailed Hawk
Redhead
Ring-Billed Gull
Ring-Necked Duck
Rock Pigeon
Rough-Legged Hawk
Ruddy Duck
Say's Phoebe
Sharp-Shinned Hawk
Snowy Egret
Sora
Tundra Swan
Turkey Vulture
Virginia Rail
Western Screech Owl
White-Tailed Kite
White-Throated Swift
Wild Turkey
Wilson's Snipe
Wood Duck
Yellow-Shafted Form
Lewis's Woodpecker
Common Gallinule
Western Screech-Owl
prairie falcon
Slate-Colored Form
Unidentified Form
American Crow
American Robin
American Dipper
American Goldfinch
American Pipit
Audubon's Form
Bell's Sparrow
Bewick's Wren
Brewer's Blackbird
Black-Throated Gray Warbler
Blackbird Sp.
Blue-Gray Gnatcatcher
Brown Creeper
Brown-Headed Cowbird
California Towhee
California Scrub-Jay
California Thrasher
Common Bushtit
Common Raven
Canyon Wren
Cassin's Finch
Cedar Waxwing
Chestnut-Backed Chickadee
Common Yellowthroat
Dark-Eyed Junco
European Starling
Fox Sparrow
Golden-Crowned Sparrow
Golden-Crowned Kinglet
Goldfinch Sp.
Grasshopper Sparrow
Hermit Thrush
Haemorhous Finch Sp.
Hermit Warbler
House Finch
House Sparrow
House Wren
Hutton's Vireo
Lark Sparrow
Lesser Goldfinch
Lawrence's Goldfinch
Lincoln's Sparrow
Loggerhead Shrike
Marsh Wren
Mountain Bluebird
Northern Mockingbird
Oak Titmouse
Oregon Form
Orange-Crowned Warbler
Phainopepla
Pacific Wren
Pine Siskin
Purple Finch
Pygmy Nuthatch
Red-Winged Blackbird
Ruby-Crowned Kinglet
Red-Breasted Nuthatch
Rock Wren
Rufous-Crowned Sparrow
Savannah Sparrow
Song Sparrow
Sooty Form
Spotted Towhee
Steller's Jay
Sparrow Sp.
Swamp Sparrow
Tricolored Blackbird
Townsend's Solitaire
Townsend's Warbler
Tree Swallow
Varied Thrush
Vesper Sparrow
Western Bluebird
Western Meadowlark
White-Breasted Nuthatch
White-Crowned Sparrow
Wrentit
White-Throated Sparrow
Yellow-Billed Magpie
Yellow-Rumped Warbler
