CommonName
Red-winged Blackbird
Bufflehead
American Coot
Black Phoebe
Steller’s Jay
Common Raven
American Crow
Purple Finch
Orange-crowned Warbler
Lesser Goldfinch
Yellow-rumped Warbler
Lincoln’s Sparrow
Ash-throated Flycatcher
Western Bluebird
Dark-eyed Junco
California Towhee
Cassin’s Vireo
Hutton’s Vireo
Spotted Towhee
Wild Turkey
California Quail
Blue-gray Gnatcatcher
Anna’s Hummingbird
Bushtit
Red-shouldered Hawk
Red-tailed Hawk
Acorn Woodpecker
Bewicks’s Wren
Black Skimmer
Black-necked Stilt
Burrowing Owl
Canada Goose
Caspian Tern
Cinnamon Teal
Cliff Swallow
Barn Swallow
Northern Rough-winged Swallow
Violet-green Swallow
Common Gallinule
Common Goldeneye
Common Raven
Double-crested Cormorant
Eared Grebe
Forster’s Tern
Gadwall
Green Heron
Glaucous-winged Gull
Lesser Scaup
Greater Scaup
Marbled Godwit
Willet
Long-billed Dowitcher
Mallard
Northern Mockingbird
Northern Shoveler
Green-winged Teal
Pied-billed Grebe
Rock Pigeon
Ruddy Duck
Snowy Egret
White-crowned Sparrow
Golden-crowned Sparrow
Western Bluebird
Western Grebe
Clark’s Grebe
American Avocet
Black Phoebe
Anna’s Hummingbird
Chestnut-backed Chickadee
Lesser Goldfinch
Dark-eyed Junco
Bushtit
House Finch
Mourning Dove
Cedar Waxwing
Surf Scoter
Lesser Yellowlegs
Ring-billed Gull
Turkey Vulture
Northern Harrier
Song Sparrow
Black-crowned Night-Heron
Marsh Wren
Common Yellowthroat
California Towhee
California Gull
Black-bellied Plover
Anna’s Hummingbird
Brown Creeper
White-breasted Nuthatch
European Starling
Western Screech-Owl
Hermit Thrush
American Goldfinch
Common Merganser
Downy Woodpecker
Nuttall’s Woodpecker
Oak Titmouse
Pine Siskin
Steller’s Jay
American White Pelican
Greater Yellowlegs
Great Egret
Greater Yellowlegs
Great-tailed Grackle
Tree Swallow
Wilson’s Warbler
Townsend’s Warbler
